cycle,o_word
2347,0.015625
2348,-2
2349,-2
2350,-2
2351,-2
2352,-2
2353,0
2354,0.015625
2355,-0.015625
2356,1.984375
2357,-2
2358,0
2359,-0.015625
2360,0.015625
2361,0
2362,-0.015625
2363,0.015625
2364,1.984375
2365,1.984375
2366,1.984375
2367,1.984375
2368,1.984375
2369,0
2370,0.015625
2371,-0.015625
2372,1.984375
2373,-2
2374,0
2375,-0.015625
2376,0.015625
2377,0
2378,-0.015625
2379,0.015625
2380,-2
2381,-2
2382,-2
2383,-2
2384,-1.625
2385,0
2386,0.015625
2387,-0.015625
2388,1.984375
2389,-2
2390,0
2391,-0.015625
2392,0.015625
2393,0
2394,-0.015625
2395,0.015625
2396,1.984375
2397,1.984375
2398,1.984375
2399,1.984375
2400,1.984375
2401,0
2402,0.015625
2403,-0.015625
2404,1.984375
2405,-2
2406,0
2407,-0.015625
2408,0.015625
2409,0
2410,-0.015625
2411,0.015625
2412,-1.4375
2413,-0.859375
2414,-0.28125
2415,0.296875
2416,0.875
2417,0
2418,0.015625
2419,-0.015625
2420,1.984375
2421,-2
2422,0
2423,-0.015625
2424,0.015625
2425,0
2426,-0.015625
2427,0.015625
2428,1.984375
2429,-2
2430,-2
2431,-2
2432,-2
2433,0
2434,0.015625
2435,-0.015625
2436,1.984375
2437,-2
2438,0
2439,-0.015625
2440,0.015625
2441,0
2442,-0.015625
2443,0.015625
2444,1.0625
2445,1.640625
2446,1.984375
2447,1.984375
2448,1.984375
2449,0
2450,0.015625
2451,-0.015625
2452,1.984375
2453,-2
2454,0
2455,-0.015625
2456,0.015625
2457,0
2458,-0.015625
2459,0.015625
2460,-2
2461,-2
2462,-2
2463,-2
2464,-2
2465,0
2466,0.015625
2467,-0.015625
2468,1.984375
2469,-2
2470,0
2471,-0.015625
2472,0.015625
2473,0
2474,-0.015625
2475,0.015625
2476,1.984375
2477,1.984375
2478,1.984375
2479,1.984375
2480,1.984375
2481,0
2482,0.015625
2483,-0.015625
2484,1.984375
2485,-2
2486,0
2487,-0.015625
2488,0.015625
2489,0
2490,-0.015625
2491,0.015625
2492,-2
2493,-2
2494,-2
2495,-1.453125
2496,-0.875
2497,0
2498,0.015625
2499,-0.015625
2500,1.984375
2501,-2
2502,0
2503,-0.015625
2504,0.015625
2505,0
2506,-0.015625
2507,0.015625
2508,1.984375
2509,1.984375
2510,1.984375
2511,1.984375
2512,-2
2513,0
2514,0.015625
2515,-0.015625
2516,1.984375
2517,-2
2518,0
2519,-0.015625
2520,0.015625
2521,0
2522,-0.015625
2523,0.015625
2524,-0.6875
2525,-0.109375
2526,0.46875
2527,1.046875
2528,1.625
2529,0
2530,0.015625
2531,-0.015625
2532,1.984375
2533,-2
2534,0
2535,-0.015625
2536,0.015625
